Names,Links
Sprigatito,https://www.serebii.net/pokedex-sv/sprigatito/
Floragato,https://www.serebii.net/pokedex-sv/floragato/
Meowscarada,https://www.serebii.net/pokedex-sv/meowscarada/
Fuecoco,https://www.serebii.net/pokedex-sv/fuecoco/
Crocalor,https://www.serebii.net/pokedex-sv/crocalor/
Skeledirge,https://www.serebii.net/pokedex-sv/skeledirge/
Quaxly,https://www.serebii.net/pokedex-sv/quaxly/
Quaxwell,https://www.serebii.net/pokedex-sv/quaxwell/
Quaquaval,https://www.serebii.net/pokedex-sv/quaquaval/
Lechonk,https://www.serebii.net/pokedex-sv/lechonk/
Oinkologne,https://www.serebii.net/pokedex-sv/oinkologne/
Tarountula,https://www.serebii.net/pokedex-sv/tarountula/
Spidops,https://www.serebii.net/pokedex-sv/spidops/
Nymble,https://www.serebii.net/pokedex-sv/nymble/
Lokix,https://www.serebii.net/pokedex-sv/lokix/
Hoppip,https://www.serebii.net/pokedex-sv/hoppip/
Skiploom,https://www.serebii.net/pokedex-sv/skiploom/
Jumpluff,https://www.serebii.net/pokedex-sv/jumpluff/
Fletchling,https://www.serebii.net/pokedex-sv/fletchling/
Fletchinder,https://www.serebii.net/pokedex-sv/fletchinder/
Talonflame,https://www.serebii.net/pokedex-sv/talonflame/
Pawmi,https://www.serebii.net/pokedex-sv/pawmi/
Pawmo,https://www.serebii.net/pokedex-sv/pawmo/
Pawmot,https://www.serebii.net/pokedex-sv/pawmot/
Houndour,https://www.serebii.net/pokedex-sv/houndour/
Houndoom,https://www.serebii.net/pokedex-sv/houndoom/
Yungoos,https://www.serebii.net/pokedex-sv/yungoos/
Gumshoos,https://www.serebii.net/pokedex-sv/gumshoos/
Skwovet,https://www.serebii.net/pokedex-sv/skwovet/
Greedent,https://www.serebii.net/pokedex-sv/greedent/
Sunkern,https://www.serebii.net/pokedex-sv/sunkern/
Sunflora,https://www.serebii.net/pokedex-sv/sunflora/
Kricketot,https://www.serebii.net/pokedex-sv/kricketot/
Kricketune,https://www.serebii.net/pokedex-sv/kricketune/
Scatterbug,https://www.serebii.net/pokedex-sv/scatterbug/
Spewpa,https://www.serebii.net/pokedex-sv/spewpa/
Vivillon,https://www.serebii.net/pokedex-sv/vivillon/
Combee,https://www.serebii.net/pokedex-sv/combee/
Vespiquen,https://www.serebii.net/pokedex-sv/vespiquen/
Rookidee,https://www.serebii.net/pokedex-sv/rookidee/
Corvisquire,https://www.serebii.net/pokedex-sv/corvisquire/
Corviknight,https://www.serebii.net/pokedex-sv/corviknight/
Happiny,https://www.serebii.net/pokedex-sv/happiny/
Chansey,https://www.serebii.net/pokedex-sv/chansey/
Blissey,https://www.serebii.net/pokedex-sv/blissey/
Azurill,https://www.serebii.net/pokedex-sv/azurill/
Marill,https://www.serebii.net/pokedex-sv/marill/
Azumarill,https://www.serebii.net/pokedex-sv/azumarill/
Surskit,https://www.serebii.net/pokedex-sv/surskit/
Masquerain,https://www.serebii.net/pokedex-sv/masquerain/
Buizel,https://www.serebii.net/pokedex-sv/buizel/
Floatzel,https://www.serebii.net/pokedex-sv/floatzel/
Wooper,https://www.serebii.net/pokedex-sv/wooper/
Clodsire,https://www.serebii.net/pokedex-sv/clodsire/
Psyduck,https://www.serebii.net/pokedex-sv/psyduck/
Golduck,https://www.serebii.net/pokedex-sv/golduck/
Chewtle,https://www.serebii.net/pokedex-sv/chewtle/
Drednaw,https://www.serebii.net/pokedex-sv/drednaw/
Igglybuff,https://www.serebii.net/pokedex-sv/igglybuff/
Jigglypuff,https://www.serebii.net/pokedex-sv/jigglypuff/
Wigglytuff,https://www.serebii.net/pokedex-sv/wigglytuff/
Ralts,https://www.serebii.net/pokedex-sv/ralts/
Kirlia,https://www.serebii.net/pokedex-sv/kirlia/
Gardevoir,https://www.serebii.net/pokedex-sv/gardevoir/
Gallade,https://www.serebii.net/pokedex-sv/gallade/
Drowzee,https://www.serebii.net/pokedex-sv/drowzee/
Hypno,https://www.serebii.net/pokedex-sv/hypno/
Gastly,https://www.serebii.net/pokedex-sv/gastly/
Haunter,https://www.serebii.net/pokedex-sv/haunter/
Gengar,https://www.serebii.net/pokedex-sv/gengar/
Tandemaus,https://www.serebii.net/pokedex-sv/tandemaus/
Maushold,https://www.serebii.net/pokedex-sv/maushold/
Pichu,https://www.serebii.net/pokedex-sv/pichu/
Pikachu,https://www.serebii.net/pokedex-sv/pikachu/
Raichu,https://www.serebii.net/pokedex-sv/raichu/
Fidough,https://www.serebii.net/pokedex-sv/fidough/
Dachsbun,https://www.serebii.net/pokedex-sv/dachsbun/
Slakoth,https://www.serebii.net/pokedex-sv/slakoth/
Vigoroth,https://www.serebii.net/pokedex-sv/vigoroth/
Slaking,https://www.serebii.net/pokedex-sv/slaking/
Bounsweet,https://www.serebii.net/pokedex-sv/bounsweet/
Steenee,https://www.serebii.net/pokedex-sv/steenee/
Tsareena,https://www.serebii.net/pokedex-sv/tsareena/
Smoliv,https://www.serebii.net/pokedex-sv/smoliv/
Dolliv,https://www.serebii.net/pokedex-sv/dolliv/
Arboliva,https://www.serebii.net/pokedex-sv/arboliva/
Bonsly,https://www.serebii.net/pokedex-sv/bonsly/
Sudowoodo,https://www.serebii.net/pokedex-sv/sudowoodo/
Rockruff,https://www.serebii.net/pokedex-sv/rockruff/
Lycanroc,https://www.serebii.net/pokedex-sv/lycanroc/
Rolycoly,https://www.serebii.net/pokedex-sv/rolycoly/
Carkol,https://www.serebii.net/pokedex-sv/carkol/
Coalossal,https://www.serebii.net/pokedex-sv/coalossal/
Shinx,https://www.serebii.net/pokedex-sv/shinx/
